pitch_angle,t*1,t*2,h*1,h*2,q01,q02,alpha1,alpha2,Cx1,Cx2,Cz1,Cz2,Cmx1,Cmx2,Cm1,Cm2
-8.714306,14.953756,15.13878,0.001347,0.010664,58.444064,58.443928,-11.608434,-11.60481,-0.003491,-0.005196,-0.842311,-0.858407,1.921356,1.933839,0.047683,0.047156
-8.680472,14.559171,15.649122,-0.018594,0.036251,58.441628,58.440301,-11.5648,-11.542861,-0.00038,-0.008508,-0.855588,-0.820741,1.946005,1.870161,0.046278,0.049717
-8.616974,14.195366,16.017122,-0.03679,0.054531,58.441227,58.441766,-11.475001,-11.438096,0.002374,-0.010303,-0.862414,-0.800337,1.958576,1.825849,0.044517,0.050366
-8.52425,13.840098,16.377756,-0.054349,0.07207,58.443616,58.443759,-11.340992,-11.288556,0.004108,-0.01287,-0.864701,-0.778114,1.961776,1.779195,0.042898,0.050888
-8.402792,13.488683,16.736927,-0.071474,0.089136,58.445437,58.443648,-11.163083,-11.094649,0.006629,-0.015218,-0.863822,-0.754218,1.956917,1.72661,0.041039,0.051044
-8.254709,13.14161,17.091122,-0.087951,0.105472,58.445613,58.441532,-10.945026,-10.860067,0.008384,-0.015799,-0.85874,-0.728576,1.942829,1.673995,0.03918,0.050639
-8.079527,12.79639,17.447756,-0.103885,0.121217,58.444286,58.441976,-10.6865,-10.584242,0.010418,-0.0171,-0.849875,-0.700835,1.92139,1.613507,0.037337,0.050098
-7.877795,12.45278,17.804683,-0.119268,0.136295,58.444573,58.44294,-10.388185,-10.268155,0.011859,-0.018372,-0.837864,-0.67176,1.892263,1.549541,0.035678,0.049341
-7.651778,12.109902,18.159171,-0.133938,0.150533,58.447987,58.444077,-10.053231,-9.915562,0.012967,-0.019844,-0.82231,-0.642265,1.854795,1.484078,0.033634,0.047522
-7.399628,11.76478,18.515854,-0.148021,0.164039,58.449353,58.44537,-9.679436,-9.523807,0.013595,-0.020177,-0.802305,-0.609558,1.808341,1.414044,0.031722,0.046263
-7.123802,11.421512,18.872195,-0.161314,0.17664,58.447223,58.446779,-9.270194,-9.096958,0.01436,-0.019974,-0.779047,-0.577746,1.755156,1.341517,0.029605,0.044712
-6.825163,11.077122,19.228732,-0.173734,0.188284,58.446727,58.44827,-8.827441,-8.636566,0.014865,-0.019954,-0.752416,-0.542945,1.693907,1.267073,0.027663,0.041761
-6.506519,10.732732,19.583707,-0.185262,0.198857,58.448061,58.449802,-8.354225,-8.147147,0.015332,-0.018822,-0.722887,-0.509035,1.625371,1.189346,0.025585,0.039907
