Cz_AM1,Cz_AM2,Cz_VE1,Cz_VE2,Cx_bonnet1,Cx_bonnet2,Cx_steady1,Cx_steady2
3.289868133696256e-06,3.289868133696256e-06,-0.6579636772212654,-0.6579636772212654,0.0038393693166672294,0.0038393693166672294,0.02276450850991411,0.02276450850991411
-9.707611545982362e-05,0.00010364233295338098,-0.6556789173449395,-0.6575447232151228,0.003942586920347407,0.0037043028224956615,0.022742988342199438,0.022742988342199438
-0.00019704319247215826,0.00020356890919574953,-0.6506998321545565,-0.6544237768983885,0.004012260803337345,0.0035396052259328292,0.02268630586354892,0.02268630586354892
-0.0002962005767409919,0.00030265897712483794,-0.6430468817791745,-0.6486136629089188,0.0040472469224046015,0.003347980856961044,0.022592785854561044,0.022592785854561044
-0.00039414080930517254,0.00040050535439677343,-0.6327515138334381,-0.640138256251362,0.004046970806441334,0.0031325761824210763,0.02246239612376912,0.02246239612376912
-0.0004904614327409809,0.000496705969259365,-0.619856034192586,-0.6290323841896428,0.004011436989264025,0.0028969281411136485,0.022295672303937506,0.022295672303937506
-0.0005847666449460079,0.0005908655127511719,-0.6044134331485341,-0.6153416831342654,0.003941228935168323,0.0026449060673622155,0.022131446753757812,0.022131446753757812
-0.0006766689255748996,0.0006825970631108295,-0.5864871676614004,-0.599122411112512,0.003837499458461485,0.002380648156650275,0.021948615167953826,0.021948615167953826
-0.0007657906284435761,0.000771523675721555,-0.5661509006012425,-0.5804412165921432,0.003701951794283294,0.002108493516565828,0.02178026275123971,0.02178026275123971
-0.0008517655333584022,0.0008572799320574298,-0.543488198051527,-0.5593748646085467,0.003536811631532133,0.0018329109187750284,0.02161287152906358,0.02161287152906358
-0.0009342403509935244,0.000939513441266512,-0.5185921859181652,-0.5360099213207418,0.0033447905671148068,0.001558425421914665,0.021487164416812032,0.021487164416812032
-0.0010128761746324882,0.0010178862882204297,-0.49156516725519034,-0.510442398292462,0.0031290415816003503,0.001289544070254639,0.021380060490774074,0.02138006049077407
-0.0010873498728086288,0.0010920764220801252,-0.46251820187956627,-0.4827773579600475,0.002893107267366239,0.0010306818881555754,0.021319862480457856,0.021319862480457856
-0.0011573554171215822,0.0011617789796718352,-0.43157065000257594,-0.45312848190835675,0.0026408616593294083,0.0007860893854909172,0.02132967848253822,0.02132967848253822
-0.0012226051397736248,0.001226707538235265,-0.3988496817531107,-0.42161760372874973,0.002376446623400117,0.00055978276439227,0.021403805547107985,0.02140380554710799
-0.001282830915658357,0.0012865952923961433,-0.36448975460833377,-0.3883742083787292,0.0021042038471581898,0.000355477973321517,0.021654470907995136,0.021654470907995136
-0.0013377852641442815,0.0013411961505267413,-0.32863206087906377,-0.35353490010047417,0.0018286035494629593,0.00017652969129971358,0.021787557370569522,0.021787557370569522
-0.0013872423660257972,0.0013902857459891526,-0.29142394752028594,-0.31724284108470796,0.001554171079583182,2.5876244170379425e-05,0.021838032349871386,0.021838032349871386
-0.0014309989914627586,0.001433662359105938,-0.2530183106509063,-0.2796471631865482,0.00128541261108721,-9.400864262968343e-05,0.021818320424343545,0.021818320424343545
-0.0014688753350954784,0.001471147746069545,-0.21357296727080477,-0.24090235511072702,0.0010267411505975104,-0.00018115646257359404,0.021773067620500956,0.02177306762050096
-0.0015007157549035198,0.00150258787138435,-0.17325000675692975,-0.20116762758436274,0.000782404076343962,-0.00023413625086721526,0.02168023983087911,0.021680239830879106
-0.0015263894117721428,0.0015278535408315495,-0.1322151248032804,-0.16060625912593357,0.0005564133963307499,-0.0002520780808514672,0.021538537900121717,0.021538537900121713
-0.001545790807138292,0.0015468409323559148,-0.09063694254175937,-0.11938492509882077,0.0003524798712758407,-0.00023468734817403813,0.021231474705193324,0.02123147470519332
-0.0015588402165068215,0.0015594720226928909,-0.04868631364177072,-0.07767301280649139,0.00017395208402258794,-0.0001822496081846989,0.021124004350492304,0.021124004350492304
-0.0015654840170555469,0.0015656949079829224,-0.0065356222358466595,-0.03564192544373114,2.3761455902024227e-05,-9.562588712435566e-05,0.021081364588526375,0.021081364588526375
-0.0015656949079829224,0.0015654840170555469,0.03564192544373106,0.006535622235846434,-9.562588712435544e-05,2.3761455902023498e-05,0.021072208220398927,0.021072208220398927
-0.0015594720226928909,0.0015588402165068215,0.07767301280649146,0.04868631364177093,-0.0001822496081846991,0.0001739520840225888,0.02112143583013618,0.02112143583013618
-0.0015468409323559148,0.001545790807138292,0.11938492509882113,0.09063694254175927,-0.00023468734817403856,0.00035247987127584026,0.021231474705193324,0.02123147470519332
-0.0015278535408315495,0.0015263894117721428,0.16060625912593335,0.13221512480328035,-0.0002520780808514668,0.0005564133963307481,0.021538537900121713,0.021538537900121713
-0.0015025878713843498,0.0015007157549035198,0.2011676275843628,0.17325000675692992,-0.00023413625086721353,0.0007824040763439628,0.021680239830879106,0.02168023983087911
-0.0014711477460695448,0.0014688753350954784,0.24090235511072722,0.21357296727080483,-0.00018115646257359404,0.0010267411505975087,0.02177306762050096,0.021773067620500956
-0.0014336623591059375,0.0014309989914627586,0.2796471631865486,0.25301831065090624,-9.40086426296817e-05,0.0012854126110872065,0.021818320424343545,0.021818320424343545
-0.0013902857459891526,0.0013872423660257966,0.3172428410847079,0.2914239475202862,2.587624417037769e-05,0.0015541710795831786,0.021838032349871386,0.021838032349871386
-0.0013411961505267408,0.0013377852641442817,0.3535349001004744,0.32863206087906344,0.00017652969129971358,0.001828603549462949,0.021778829159523394,0.021778829159523394
-0.0012865952923961426,0.0012828309156583573,0.38837420837872955,0.36448975460833366,0.000355477973321517,0.0021042038471581898,0.021644470948909568,0.021644470948909568
-0.0012267075382352641,0.001222605139773624,0.4216176037287502,0.39884968175311103,0.00055978276439227,0.002376446623400124,0.02140254964383395,0.02140254964383395
-0.001161778979671835,0.0011573554171215817,0.4531284819083569,0.43157065000257605,0.0007860893854909137,0.0026408616593294014,0.021321638326326147,0.021321638326326147
-0.0010920764220801247,0.0010873498728086286,0.48277735796004756,0.4625182018795664,0.0010306818881555824,0.002893107267366239,0.02131667266955464,0.02131667266955464
-0.0010178862882204295,0.001012876174632487,0.5104423982924621,0.4915651672551906,0.001289544070254639,0.003129041581600364,0.021380060490774074,0.021380060490774077
