pitch_angle,t*1,t*2,h*1,h*2,q01,q02,alpha1,alpha2,Cx1,Cx2,Cz1,Cz2,Cmx1,Cmx2,Cm1,Cm2
-12.875936,29.990098,30.773073,-0.014383,0.025416,58.099249,58.098778,-15.797409,-15.79642,0.137393,0.142912,-0.971916,-0.938744,2.169644,2.084633,-0.006956,-0.013822
-12.848912,29.551415,31.197268,-0.03654,0.046921,58.096377,58.100599,-15.76254,-15.760427,0.133509,0.144989,-0.993631,-0.911451,2.218944,2.0233,-0.003575,-0.016495
-12.808196,29.170488,31.581805,-0.055805,0.066336,58.09242,58.098859,-15.710219,-15.706672,0.13009,0.146316,-1.009284,-0.886145,2.255592,1.965826,-0.000401,-0.018855
-12.75383,28.797805,31.95478,-0.074528,0.08507,58.09466,58.10037,-15.63936,-15.634993,0.125351,0.147602,-1.021779,-0.86123,2.283917,1.907383,0.003026,-0.021335
-12.685871,28.429366,32.324293,-0.092951,0.103474,58.096907,58.104327,-15.550974,-15.545452,0.120496,0.147784,-1.032787,-0.834466,2.311953,1.846231,0.006073,-0.023122
-12.604394,28.064537,32.690878,-0.111048,0.1216,58.091667,58.103723,-15.445484,-15.43824,0.115812,0.147392,-1.041694,-0.80703,2.333313,1.783938,0.0092,-0.024743
-12.509489,27.7,33.055122,-0.128954,0.139457,58.092828,58.102391,-15.322293,-15.313498,0.1109,0.146911,-1.047967,-0.779551,2.349423,1.721873,0.012366,-0.02619
-12.402258,27.339659,33.415805,-0.146461,0.156922,58.096552,58.10567,-15.183013,-15.172474,0.105648,0.144496,-1.052151,-0.750661,2.358244,1.659188,0.015618,-0.027279
-12.273093,26.953659,33.802195,-0.164934,0.175392,58.09342,58.106807,-15.015562,-15.002729,0.100382,0.143659,-1.054475,-0.723089,2.366227,1.591867,0.018513,-0.028373
-12.139297,26.591122,34.163024,-0.182133,0.192326,58.090897,58.105732,-14.839933,-14.826914,0.094133,0.141285,-1.054451,-0.692443,2.371919,1.523334,0.021422,-0.028476
