Cz_AM1,Cz_AM2,Cz_VE1,Cz_VE2,Cx_bonnet1,Cx_bonnet2,Cx_steady1,Cx_steady2
0.002157725140221471,0.002157725140221471,-0.783076027930958,-0.783076027930958,-0.01915439255465387,-0.01915439255465387,0.16410693581811656,0.16410693581811656
-0.0022525016511939873,0.00655908537620519,-0.7745187513866534,-0.788415477107213,-0.01530678452529649,-0.022902570395461563,0.16328623005641102,0.16328623005641102
-0.006653472430164623,0.010933492923458661,-0.76277881115915,-0.790515157973445,-0.011411231979504416,-0.02650124186963715,0.16190047162409282,0.16190047162409282
-0.011027102663754331,0.015262972403062796,-0.7479044491810516,-0.7893664424905945,-0.007519832734823595,-0.029902515414837627,0.15985254416919908,0.15985254416919908
-0.015355420167192605,0.019529733055165435,-0.7299567873962671,-0.7849740509769793,-0.0036844900737516284,-0.033061424445452736,0.15715269178737626,0.15715269178737626
-0.019620638955436552,0.02371624184502976,-0.7090095765968316,-0.7773560327114937,4.389022333292636e-05,-0.03593662098527198,0.15432007665862107,0.154320076658621
-0.023805232329598785,0.027805295510034984,-0.6851488933650822,-0.7665436917652504,0.0036161861496493697,-0.038491011366150185,0.14518739353875085,0.1451873935387507
-0.02789200489791236,0.03178009125157224,-0.6584727863665191,-0.7525814583664374,0.00698581634116377,-0.04069232373217346,0.12066531211672084,0.12066531211672084
-0.03186416323528411,0.03562429578134859,-0.6290908734468065,-0.7355267063269805,0.010109455319919247,-0.042513598201756264,0.09121684639027938,0.09121684639027938
-0.03570538489108052,0.039322112438371935,-0.5971238911885313,-0.715449517281242,0.012947695571175338,-0.043933591802523375,0.061698464142359265,0.061698464142359265
-0.039399885461578445,0.04285834610081932,-0.5627031987786896,-0.6924323927055548,0.015465645785759721,-0.04493709168506352,0.04304012386884761,0.04304012386884769
-0.04293248345146579,0.04621846562605202,-0.525970238225609,-0.6665699149019582,0.017633455645154686,-0.0455151316188622,0.037315596997736636,0.037315596997736664
-0.046288662657862266,0.049388663562197524,-0.48707595314339663,-0.6379683583392306,0.019426758730133956,-0.045665108352386075,0.03359543855806456,0.03359543855806455
-0.049454631820510554,0.05235591288593081,-0.44618016849225406,-0.6067452529483037,0.020827026474492874,-0.04539079605352264,0.030520324132142,0.030520324132142
-0.05241738129302312,0.055108020533307725,-0.4034509338234308,-0.5730289011665637,0.02182182754156889,-0.04470225870957453,0.027372074439232858,0.02737207443923285
-0.05516473650230965,0.057633677503679974,-0.3590638327275725,-0.5369578507156161,0.0224049885489455,-0.043615662030508914,0.024270733188457953,0.024270733188457946
-0.05768540797650929,0.059922505330804496,-0.3132012613240869,-0.49868032527898065,0.02257665368057337,-0.042152988037886585,0.021124144959297958,0.021124144959297948
-0.05996903773585224,0.061965098730187664,-0.2660516787563605,-0.4583536154191795,0.022343242379058686,-0.040341657107977096,0.017963932298357164,0.017963932298357157
-0.062006241855820356,0.06375306424741654,-0.21780883277271743,-0.4161434322370782,0.021717305976932357,-0.03821406374500819,0.01502347691425562,0.015023476914255617
