pitch_angle,t*1,t*2,h*1,h*2,q01,q02,alpha1,alpha2,Cx1,Cx2,Cz1,Cz2,Cmx1,Cmx2,Cm1,Cm2
-7.962955,30.491171,30.552537,0.008287,0.011354,58.57998,58.580009,-10.858645,-10.858358,-0.011017,-0.01109,-0.812994,-0.81072,1.866303,1.863174,0.044564,0.044682
-7.955845,29.990195,30.998439,-0.016752,0.033619,58.579742,58.580224,-10.849611,-10.844895,-0.009595,-0.011728,-0.810388,-0.80276,1.866327,1.848026,0.044696,0.044944
-7.941762,29.601659,31.382488,-0.036142,0.05274,58.57956,58.580411,-10.828887,-10.820571,-0.009095,-0.012248,-0.813294,-0.797014,1.872778,1.836927,0.044353,0.044948
-7.920358,29.220537,31.761463,-0.055101,0.071527,58.579386,58.580597,-10.796406,-10.78457,-0.007883,-0.012857,-0.81518,-0.790567,1.874254,1.820903,0.044041,0.045015
-7.891963,28.845366,32.135122,-0.073682,0.089945,58.57922,58.580783,-10.752706,-10.73743,-0.007389,-0.013158,-0.816469,-0.783856,1.87691,1.808023,0.043786,0.044847
-7.856359,28.470195,32.508732,-0.092148,0.108224,58.579062,58.580971,-10.697468,-10.678787,-0.006558,-0.013536,-0.816321,-0.776562,1.876483,1.791546,0.04323,0.044695
-7.813911,28.09761,32.879707,-0.110346,0.126214,58.578915,58.581161,-10.631272,-10.609247,-0.00533,-0.013851,-0.813484,-0.768709,1.867344,1.77393,0.043113,0.044816
-7.764491,27.725171,33.250341,-0.128371,0.144001,58.578782,58.581353,-10.553932,-10.52861,-0.00404,-0.014499,-0.811867,-0.760619,1.864022,1.757322,0.042554,0.044163
-7.708429,27.354537,33.619073,-0.146119,0.161487,58.578665,58.581549,-10.465979,-10.437422,-0.003293,-0.013643,-0.809273,-0.751435,1.855994,1.736652,0.042017,0.043987
-7.644999,26.980488,33.990976,-0.16381,0.178883,58.578565,58.581752,-10.366292,-10.334518,-0.00299,-0.013563,-0.805876,-0.741854,1.849614,1.715535,0.041332,0.043667
-7.575903,26.612341,34.356976,-0.180979,0.195742,58.578491,58.581961,-10.257564,-10.222668,-0.002228,-0.013372,-0.801921,-0.731965,1.838697,1.693541,0.040723,0.043246
-7.500302,26.244195,34.722878,-0.197885,0.212314,58.578443,58.58218,-10.138497,-10.10052,-0.001671,-0.013086,-0.797209,-0.721611,1.825639,1.670443,0.040048,0.042767
-7.418296,25.876,35.088683,-0.214503,0.228577,58.578427,58.582412,-10.009265,-9.968249,-0.000449,-0.012708,-0.791235,-0.710811,1.809955,1.646281,0.03946,0.042229
-7.329993,25.507805,35.454439,-0.230811,0.244508,58.578448,58.582658,-9.87006,-9.826041,-0.000164,-0.012243,-0.784231,-0.699583,1.793719,1.621099,0.038579,0.041636
-7.235513,25.13961,35.820098,-0.246784,0.260085,58.57851,58.582919,-9.721086,-9.674101,0.000636,-0.011694,-0.777049,-0.687942,1.777627,1.59493,0.037584,0.040987
-7.134985,24.771366,36.186439,-0.262399,0.275268,58.578618,58.582747,-9.562564,-9.512598,0.001295,-0.011082,-0.768493,-0.675932,1.757366,1.568017,0.036729,0.040146
-7.028546,24.40322,36.555024,-0.277634,0.290062,58.578774,58.58087,-9.394728,-9.341897,0.001947,-0.010555,-0.75906,-0.663359,1.735113,1.540583,0.035841,0.039344
-6.916345,24.035073,36.924293,-0.292466,0.304449,58.578982,58.581494,-9.217822,-9.162139,0.002598,-0.009743,-0.748764,-0.650523,1.710888,1.511546,0.03492,0.038666
-6.79854,23.667024,37.293805,-0.306873,0.318402,58.579242,58.581985,-9.032106,-8.973634,0.003247,-0.008867,-0.737622,-0.637167,1.684714,1.481341,0.033972,0.037788
-6.675298,23.299073,37.662829,-0.320835,0.33189,58.579554,58.582174,-8.837847,-8.776688,0.003897,-0.007902,-0.725649,-0.623784,1.65662,1.450751,0.032997,0.036832
-6.546795,22.931268,38.032195,-0.334333,0.344908,58.579918,58.583416,-8.635325,-8.571402,0.004546,-0.006993,-0.712862,-0.610408,1.62664,1.419094,0.032001,0.035966
-6.413213,22.563561,38.401512,-0.347345,0.357433,58.580334,58.58206,-8.424831,-8.358337,0.005196,-0.005774,-0.69928,-0.596211,1.594813,1.385965,0.030985,0.035067
-6.274746,22.196049,38.77078,-0.359856,0.369443,58.580801,58.584026,-8.206671,-8.137702,0.005845,-0.004937,-0.68492,-0.58131,1.561185,1.353226,0.029953,0.033997
-6.131593,21.828732,39.139756,-0.371846,0.380931,58.581319,58.582597,-7.981158,-7.909767,0.006492,-0.004048,-0.669805,-0.566509,1.525808,1.318842,0.028906,0.033012
-5.98396,21.46161,39.509268,-0.3833,0.39188,58.581884,58.584631,-7.748612,-7.674807,0.007134,-0.003124,-0.653955,-0.551364,1.488738,1.284618,0.027845,0.031931
-5.832061,21.094683,39.878732,-0.394202,0.402253,58.582493,58.583525,-7.509361,-7.43337,0.007766,-0.002008,-0.637393,-0.535297,1.450035,1.24879,0.026774,0.030827
-5.676113,20.727951,40.247561,-0.404538,0.412067,58.583143,58.585113,-7.263739,-7.185765,0.008379,-0.000745,-0.620142,-0.519581,1.40976,1.212452,0.025691,0.02975
-5.51634,20.361415,40.617024,-0.414294,0.421303,58.583827,58.584719,-7.012089,-6.932146,0.008966,0.000348,-0.602225,-0.503352,1.367978,1.174753,0.024599,0.028715
-5.352969,19.995073,40.985951,-0.423457,0.429923,58.58454,58.585658,-6.754763,-6.673074,0.009515,0.001279,-0.583672,-0.48702,1.324759,1.13682,0.023496,0.027583
-5.186234,19.628878,41.355122,-0.432016,0.437942,58.585276,58.586234,-6.492123,-6.408833,0.010018,0.0025,-0.564509,-0.470109,1.280176,1.09837,0.022383,0.026431
-5.016372,19.262878,41.724049,-0.43996,0.445344,58.586031,58.586258,-6.224539,-6.13986,0.010467,0.003487,-0.544768,-0.452505,1.23431,1.059225,0.021259,0.025268
-4.843626,18.897024,42.093415,-0.447275,0.452125,58.586801,58.588476,-5.952387,-5.866399,0.010855,0.004553,-0.524478,-0.435061,1.187241,1.018074,0.020124,0.024143
-4.668244,18.531366,42.461951,-0.453953,0.458243,58.587583,58.586818,-5.676049,-5.589226,0.011176,0.005632,-0.503672,-0.416766,1.139055,0.977935,0.018978,0.022995
-4.490475,18.165756,42.831122,-0.459988,0.463724,58.588372,58.589838,-5.395911,-5.308337,0.011428,0.006419,-0.482384,-0.39823,1.089843,0.935296,0.017818,0.022026
-4.310576,17.800293,43.199561,-0.465372,0.468552,58.589167,58.587742,-5.112371,-5.024304,0.011606,0.007722,-0.460649,-0.379313,1.0397,0.891849,0.016645,0.020817
-4.128803,17.434927,43.568732,-0.470097,0.472714,58.589964,58.590804,-4.82583,-4.737332,0.01171,0.008943,-0.438505,-0.360639,0.988728,0.848085,0.015457,0.019843
-3.945419,17.06961,43.937463,-0.474158,0.476224,58.59076,58.589587,-4.536696,-4.447926,0.011738,0.009889,-0.415994,-0.340565,0.937036,0.80257,0.014253,0.018832
-3.760688,16.70439,44.302829,-0.477548,0.479055,58.591551,58.589915,-4.245383,-4.156579,0.011691,0.010897,-0.393163,-0.320488,0.884738,0.756863,0.013032,0.017804
-3.574877,16.33922,44.667805,-0.480264,0.481212,58.592333,58.590509,-3.952304,-3.863647,0.011571,0.011905,-0.370059,-0.300135,0.831947,0.710511,0.011793,0.016784
-3.388256,15.974146,45.032732,-0.482302,0.482692,58.593103,58.591123,-3.657876,-3.56954,0.011385,0.012903,-0.346733,-0.279488,0.778771,0.663506,0.010536,0.015771
-3.201094,15.609122,45.39761,-0.48366,0.483495,58.593859,58.591756,-3.362516,-3.274675,0.011139,0.013894,-0.323234,-0.258592,0.725314,0.615941,0.009259,0.014764
-3.013666,15.244146,45.762439,-0.484335,0.483619,58.594599,58.592408,-3.06665,-2.979476,0.010843,0.014878,-0.299616,-0.237497,0.671679,0.567911,0.007965,0.013756
-2.826242,14.879268,46.127268,-0.484326,0.483065,58.595322,58.593078,-2.770697,-2.68436,0.010506,0.015857,-0.275935,-0.216254,0.617978,0.51951,0.006653,0.012746
-2.639096,14.514439,46.492,-0.483634,0.481834,58.596028,58.593763,-2.475086,-2.389749,0.010136,0.01683,-0.252252,-0.194909,0.564331,0.470822,0.005323,0.01173
-2.452501,14.149707,46.856732,-0.482261,0.479927,58.596718,58.59446,-2.18024,-2.096064,0.009741,0.017797,-0.228629,-0.173506,0.510865,0.421925,0.003976,0.010705
-2.266727,13.785024,47.221366,-0.480207,0.477348,58.597392,58.595165,-1.88658,-1.80372,0.009325,0.018756,-0.205125,-0.152085,0.457702,0.372891,0.002612,0.00967
-2.082046,13.420439,47.586,-0.477477,0.474101,58.59805,58.595873,-1.594529,-1.513131,0.008895,0.019706,-0.181794,-0.130684,0.404957,0.323791,0.001231,0.008624
-1.898725,13.055951,47.950585,-0.474074,0.47019,58.598694,58.59658,-1.304501,-1.224705,0.008458,0.020647,-0.158683,-0.109342,0.352721,0.274704,-0.000165,0.007564
-1.71703,12.69161,48.315122,-0.470003,0.465622,58.599324,58.597281,-1.01691,-0.938853,0.008021,0.021578,-0.135828,-0.088101,0.301072,0.225709,-0.001573,0.006489
-1.537224,12.327366,48.67961,-0.465271,0.460402,58.599941,58.597972,-0.732166,-0.655977,0.007594,0.022498,-0.113263,-0.067002,0.250072,0.176893,-0.002989,0.0054
-1.359567,11.96322,49.044049,-0.459884,0.454538,58.600542,58.598651,-0.450675,-0.376479,0.007185,0.023408,-0.091015,-0.04609,0.19978,0.128348,-0.004412,0.004295
-1.184313,11.599268,49.408439,-0.453851,0.448038,58.601129,58.599316,-0.172835,-0.100749,0.006803,0.024307,-0.069112,-0.02541,0.150245,0.080168,-0.005835,0.003175
-1.011712,11.235415,49.772829,-0.44718,0.440912,58.6017,58.599966,0.100963,0.170824,0.006454,0.025192,-0.047579,-0.005005,0.101522,0.032447,-0.007256,0.002041
