pitch_angle,t*1,t*2,h*1,h*2,q01,q02,alpha1,alpha2,Cx1,Cx2,Cz1,Cz2,Cmx1,Cmx2,Cm1,Cm2
-5.009206,30.177902,30.930585,-0.000513,0.037047,58.726495,58.72583,-7.898992,-7.891026,-0.012027,-0.012096,-0.664766,-0.639988,1.505224,1.471554,0.026796,0.028431
-5.006668,29.95639,31.169756,-0.011575,0.048945,58.726689,58.725621,-7.894954,-7.882128,-0.011828,-0.012532,-0.655518,-0.640386,1.494132,1.470446,0.027153,0.028167
-5.001484,29.629805,31.489122,-0.027867,0.064787,58.726973,58.725345,-7.885369,-7.865764,-0.011107,-0.013214,-0.655386,-0.638069,1.493123,1.464959,0.027148,0.02831
-4.993542,29.281171,31.834878,-0.04522,0.081857,58.72727,58.725054,-7.869067,-7.842232,-0.01086,-0.012286,-0.656944,-0.634905,1.494379,1.457099,0.026834,0.028552
-4.982764,28.922293,32.191366,-0.063019,0.099349,58.727566,58.724762,-7.845728,-7.811534,-0.010649,-0.013243,-0.657795,-0.630685,1.495437,1.449841,0.026535,0.028408
-4.969462,28.565659,32.545171,-0.080617,0.116578,58.727849,58.724485,-7.816003,-7.774602,-0.009972,-0.013211,-0.65794,-0.625269,1.495445,1.439844,0.026136,0.028606
-4.953237,28.201805,32.906,-0.098456,0.133987,58.728123,58.724215,-7.778995,-7.730357,-0.008955,-0.012016,-0.657514,-0.620324,1.491336,1.42759,0.025992,0.028511
-4.9345,27.84039,33.263902,-0.116031,0.15107,58.728378,58.72396,-7.735643,-7.67996,-0.008931,-0.012646,-0.655517,-0.614732,1.486759,1.419257,0.025691,0.028278
-4.912749,27.472341,33.628146,-0.133758,0.168241,58.728617,58.723717,-7.684795,-7.622079,-0.00812,-0.012445,-0.654558,-0.60955,1.484135,1.406064,0.025027,0.028222
-4.888592,27.107902,33.988341,-0.151116,0.184988,58.728832,58.723494,-7.627887,-7.558372,-0.007662,-0.012018,-0.652242,-0.603065,1.47696,1.393053,0.024736,0.028419
-4.861345,26.736927,34.354829,-0.168562,0.201761,58.729027,58.723285,-7.563328,-7.487055,-0.007138,-0.01163,-0.64922,-0.596447,1.470555,1.379005,0.024219,0.028255
-4.831411,26.363951,34.721561,-0.185793,0.218253,58.729123,58.723098,-7.492078,-7.409211,-0.005836,-0.011182,-0.646054,-0.589531,1.460634,1.364207,0.023865,0.028047
-4.798824,25.988732,35.088488,-0.202763,0.234438,58.728263,58.722935,-7.414245,-7.324954,-0.00523,-0.010676,-0.640292,-0.582329,1.446228,1.348688,0.023513,0.027796
-4.763623,25.61239,35.455512,-0.219439,0.25029,58.728063,58.722798,-7.329962,-7.234413,-0.00462,-0.010119,-0.636036,-0.574856,1.43708,1.332475,0.023065,0.027501
-4.725851,25.236488,35.822732,-0.235773,0.265785,58.727911,58.722689,-7.239467,-7.137711,-0.00323,-0.009516,-0.629767,-0.567121,1.423354,1.315593,0.022749,0.027162
-4.685557,24.860927,36.19,-0.251747,0.280898,58.728365,58.722612,-7.142864,-7.034997,-0.002881,-0.008871,-0.623088,-0.559133,1.407305,1.298062,0.022422,0.026779
-4.642793,24.483854,36.557317,-0.2674,0.295606,58.728212,58.722568,-7.040068,-6.926413,-0.002326,-0.00819,-0.616755,-0.5509,1.391765,1.279901,0.021864,0.026353
-4.597617,24.107561,36.924732,-0.282644,0.309889,58.728969,58.722561,-6.931615,-6.812137,-0.001986,-0.007477,-0.608606,-0.542427,1.373508,1.261126,0.021554,0.025886
-4.550089,23.731415,37.292195,-0.297422,0.323724,58.727764,58.722593,-6.817534,-6.692319,-0.000911,-0.006739,-0.599811,-0.53372,1.351841,1.241751,0.021127,0.02538
-4.500278,23.35561,37.659659,-0.311788,0.337091,58.729503,58.722666,-6.697763,-6.567158,-0.000142,-0.005977,-0.590755,-0.524783,1.333189,1.221787,0.020776,0.024837
-4.448251,22.978927,38.027171,-0.325696,0.349971,58.728409,58.722779,-6.572778,-6.436831,0.001045,-0.005195,-0.581079,-0.515616,1.310085,1.201241,0.02051,0.024258
-4.394083,22.603707,38.394634,-0.339104,0.362345,58.729933,58.722935,-6.442633,-6.301543,0.001427,-0.004397,-0.570533,-0.506222,1.287041,1.18012,0.020141,0.023648
-4.337851,22.228244,38.762146,-0.352015,0.374194,58.727381,58.723132,-6.307758,-6.161491,0.001952,-0.003585,-0.55928,-0.496598,1.26183,1.158423,0.019786,0.023011
-4.279635,21.853366,39.129659,-0.364382,0.385504,58.729284,58.72337,-6.168082,-6.016885,0.002966,-0.002758,-0.547392,-0.486741,1.234481,1.136147,0.019437,0.022349
