pitch_angle,t*1,t*2,h*1,h*2,q01,q02,alpha1,alpha2,Cx1,Cx2,Cz1,Cz2,Cmx1,Cmx2,Cm1,Cm2
-6.794873,14.650293,15.578732,-0.009802,0.036566,58.524333,58.525435,-9.666282,-9.638109,-0.005505,-0.007927,-0.744114,-0.739414,1.694083,1.668692,0.033451,0.034188
-6.750725,14.244634,15.971902,-0.030085,0.055955,58.52529,58.527969,-9.601305,-9.548939,-0.005802,-0.008786,-0.7525,-0.719321,1.706445,1.631475,0.032051,0.034942
-6.685393,13.86522,16.347463,-0.048862,0.074077,58.523616,58.527656,-9.498154,-9.423725,-0.005217,-0.010582,-0.754561,-0.70358,1.706599,1.59541,0.030895,0.035861
-6.600006,13.496146,16.713902,-0.066767,0.091336,58.522271,58.52781,-9.359238,-9.263295,-0.005009,-0.011371,-0.753783,-0.681558,1.701954,1.554177,0.029865,0.035309
-6.494343,13.131024,17.076634,-0.084153,0.107934,58.524095,58.528957,-9.184468,-9.067798,-0.003389,-0.012145,-0.748036,-0.661013,1.688742,1.511148,0.028539,0.035444
-6.369361,12.766537,17.438829,-0.100959,0.123864,58.525567,58.52961,-8.975449,-8.83919,-0.003147,-0.012779,-0.740036,-0.638678,1.66543,1.465524,0.027379,0.034821
-6.226673,12.406293,17.799561,-0.117027,0.138923,58.524644,58.528556,-8.734809,-8.579597,-0.002266,-0.013207,-0.726867,-0.615222,1.63633,1.414408,0.026192,0.034134
-6.066784,12.048341,18.15961,-0.132367,0.153154,58.52304,58.529278,-8.463999,-8.290072,-0.001495,-0.013809,-0.710753,-0.590471,1.600872,1.361794,0.024644,0.033336
-5.890222,11.691268,18.519171,-0.146934,0.166524,58.523831,58.530009,-8.163211,-7.971675,-0.000643,-0.014111,-0.691497,-0.564653,1.55732,1.306635,0.023637,0.032327
-5.697975,11.334146,18.87839,-0.160669,0.178966,58.525999,58.530735,-7.834223,-7.626184,0.000205,-0.014031,-0.669459,-0.537877,1.507583,1.249113,0.022572,0.031118
-5.491122,10.977073,19.237415,-0.173498,0.190416,58.526284,58.531442,-7.479309,-7.255533,0.001355,-0.013507,-0.644991,-0.510241,1.451069,1.189396,0.021567,0.029724
-5.270819,10.621317,19.596244,-0.185362,0.200815,58.525534,58.532114,-7.100385,-6.861797,0.002681,-0.012502,-0.618362,-0.481826,1.389468,1.127621,0.020482,0.028166
-5.038291,10.265659,19.954927,-0.1962,0.21011,58.525959,58.532737,-6.699371,-6.447173,0.004235,-0.011005,-0.588628,-0.45269,1.322455,1.063891,0.019444,0.026471
-4.794824,9.909854,20.313512,-0.205948,0.21825,58.527616,58.533304,-6.278703,-6.01397,0.005733,-0.009035,-0.55731,-0.422866,1.251024,0.998261,0.0184,0.024667
-4.541753,9.555268,20.672,-0.214563,0.225193,58.528636,58.533819,-5.840791,-5.564576,0.007144,-0.006632,-0.525113,-0.392369,1.176913,0.930759,0.017223,0.022787
-4.28045,9.20078,21.030488,-0.22201,0.230903,58.528227,58.534296,-5.387589,-5.10144,0.008165,-0.003853,-0.491158,-0.361204,1.099182,0.861411,0.015986,0.020864
-4.012316,8.845756,21.388976,-0.228244,0.23535,58.527781,58.534751,-4.921623,-4.62706,0.009022,-0.000774,-0.45613,-0.32938,1.018267,0.79026,0.014839,0.018928
-3.738778,8.491854,21.747512,-0.233234,0.23851,58.52873,58.535197,-4.445527,-4.143977,0.010016,0.002529,-0.420756,-0.296919,0.936538,0.717386,0.013517,0.017005
-3.46129,8.137951,22.106,-0.236961,0.240365,58.530511,58.535642,-3.961673,-3.654777,0.010883,0.005975,-0.385003,-0.263866,0.853786,0.642908,0.012045,0.015113
-3.181334,7.783366,22.464488,-0.23941,0.240907,58.53099,58.536088,-3.472569,-3.162088,0.011284,0.009491,-0.348873,-0.230296,0.769652,0.567003,0.010547,0.013264
-2.900411,7.429073,22.823024,-0.24057,0.240132,58.530132,58.53653,-2.980806,-2.66857,0.011368,0.013013,-0.312926,-0.196328,0.685877,0.489918,0.008881,0.01146
-2.620034,7.07478,23.181512,-0.24042,0.238044,58.530234,58.53696,-2.489028,-2.176902,0.011697,0.016487,-0.277249,-0.162126,0.603078,0.411994,0.007056,0.0097
-2.341722,6.721122,23.54,-0.238968,0.234657,58.532116,58.537366,-1.999837,-1.689762,0.011834,0.019863,-0.241746,-0.127902,0.5218,0.333682,0.004936,0.007975
-2.066987,6.367854,23.898488,-0.23622,0.229987,58.534256,58.537739,-1.516061,-1.209812,0.012107,0.023087,-0.207066,-0.093912,0.441903,0.255535,0.00275,0.006273
-1.797324,6.014293,24.256976,-0.232186,0.224063,58.534159,58.538075,-1.040524,-0.739675,0.012022,0.026097,-0.172549,-0.060437,0.363162,0.178194,0.000462,0.004578
-1.534204,5.661512,24.615415,-0.226905,0.216915,58.53274,58.538378,-0.575699,-0.281931,0.010917,0.028819,-0.138958,-0.02777,0.287429,0.102355,-0.001865,0.002876
-1.279065,5.307463,24.973805,-0.220395,0.208585,58.533812,58.538651,-0.1237,0.160892,0.010336,0.031181,-0.106388,0.003797,0.214085,0.028724,-0.004231,0.001154
-1.033295,4.95361,25.332195,-0.21269,0.199119,58.536548,58.538899,0.312488,0.586354,0.009703,0.03312,-0.074579,0.033986,0.143467,-0.042019,-0.006713,-0.000597
-0.79823,4.600683,25.690537,-0.203844,0.188569,58.537394,58.539124,0.730467,0.992137,0.009395,0.034595,-0.043316,0.062537,0.075276,-0.10924,-0.009245,-0.002383
-0.575139,4.248683,26.048829,-0.193901,0.176994,58.53629,58.539325,1.128075,1.376064,0.008977,0.035582,-0.014645,0.089212,0.010265,-0.17236,-0.011371,-0.004202
-0.36522,3.895463,26.407073,-0.182924,0.164459,58.536165,58.539501,1.5035,1.736092,0.007822,0.036077,0.013992,0.1138,-0.052303,-0.230855,-0.013538,-0.006048
-0.169595,3.543122,26.76522,-0.170965,0.151032,58.53765,58.539651,1.854415,2.070309,0.007789,0.036094,0.042586,0.136118,-0.11158,-0.284268,-0.015774,-0.007909
0.010694,3.191366,27.123366,-0.15807,0.136789,58.540524,58.539772,2.17904,2.37694,0.007746,0.035662,0.068489,0.156017,-0.168256,-0.332209,-0.017624,-0.009765
0.174685,2.839561,27.481415,-0.1443,0.121806,58.539823,58.539863,2.475796,2.654361,0.008146,0.034822,0.093421,0.173386,-0.221768,-0.374361,-0.019477,-0.011593
0.321498,2.486634,27.839317,-0.129874,0.106169,58.538825,58.539925,2.742222,2.901107,0.007562,0.033616,0.115592,0.188149,-0.270619,-0.410473,-0.020562,-0.01337
0.450339,2.134098,28.197073,-0.114695,0.089964,58.539457,58.539964,2.977842,3.11588,0.007885,0.032086,0.137463,0.20027,-0.316292,-0.440363,-0.021445,-0.015068
0.560501,1.778585,28.554537,-0.09889,0.073284,58.539735,58.53999,3.181305,3.297536,0.008862,0.030269,0.15646,0.209745,-0.356876,-0.463912,-0.022279,-0.016663
0.651369,1.423415,28.911561,-0.082569,0.056231,58.53993,58.540014,3.351339,3.445091,0.010202,0.028202,0.173095,0.2166,-0.392626,-0.481081,-0.022841,-0.018127
0.722423,1.06922,29.267512,-0.065852,0.038927,58.540057,58.540045,3.486963,3.557742,0.011878,0.025933,0.18708,0.220904,-0.423051,-0.491938,-0.023142,-0.019429
