pitch_angle,t*1,t*2,h*1,h*2,q01,q02,alpha1,alpha2,Cx1,Cx2,Cz1,Cz2,Cmx1,Cmx2,Cm1,Cm2
-3.217393,14.810488,15.762049,0.231128,0.239324,58.401552,58.402185,-3.969255,-3.416235,0.003059,0.00964,-0.360148,-0.315955,0.843895,0.748449,0.008974,0.008007
-3.213991,14.24322,16.256244,0.222466,0.239627,58.40116,58.402539,-4.284372,-3.120861,0.00057,0.011888,-0.383397,-0.292994,0.897992,0.695872,0.010098,0.007295
-3.209509,13.831024,16.681268,0.214029,0.238023,58.400858,58.402869,-4.501757,-2.866048,-0.001162,0.01379,-0.399672,-0.272483,0.935193,0.649535,0.010872,0.006811
-3.20395,13.443902,17.079268,0.204721,0.234887,58.400561,58.403194,-4.696285,-2.62836,-0.002577,0.01551,-0.414382,-0.25269,0.968508,0.605257,0.011576,0.006459
-3.197317,13.068293,17.463902,0.19445,0.230356,58.400264,58.403513,-4.874775,-2.401011,-0.003698,0.01711,-0.42804,-0.233103,0.99915,0.561769,0.012234,0.006213
-3.189612,12.697854,17.840829,0.183176,0.224509,58.399963,58.403821,-5.039842,-2.181805,-0.00454,0.018619,-0.440854,-0.213568,1.027607,0.518626,0.012851,0.00606
-3.180841,12.328878,18.212976,0.170886,0.217403,58.399657,58.404125,-5.192397,-1.970203,-0.00512,0.020046,-0.452911,-0.194093,1.054096,0.475709,0.013425,0.005999
-3.171014,11.959268,18.581902,0.157581,0.209094,58.399351,58.404443,-5.332485,-1.766362,-0.005461,0.021389,-0.464221,-0.174773,1.078684,0.433073,0.013949,0.006032
-3.160146,11.587659,18.948488,0.143283,0.199637,58.399053,58.404796,-5.459622,-1.570772,-0.005591,0.02263,-0.474742,-0.155756,1.101322,0.390873,0.014416,0.006164
-3.148265,11.213415,19.313366,0.128012,0.189089,58.401017,58.405194,-5.57325,-1.384098,-0.004705,0.02374,-0.483842,-0.137214,1.121859,0.349337,0.014759,0.006397
-3.135412,10.841951,19.676976,0.111964,0.177514,58.400993,58.405633,-5.671334,-1.207092,-0.005137,0.024689,-0.49407,-0.11932,1.139958,0.308738,0.015235,0.006731
-3.121644,10.467171,20.03961,0.095077,0.164979,58.401339,58.406091,-5.754283,-1.040527,-0.004657,0.025449,-0.501847,-0.102235,1.153972,0.269384,0.015808,0.007159
-3.107039,10.088976,20.401415,0.077488,0.151553,58.402188,58.406547,-5.820689,-0.885155,-0.004417,0.025998,-0.508162,-0.086105,1.168577,0.2316,0.015872,0.007668
-3.091691,9.712927,20.762634,0.059507,0.13731,58.400034,58.406983,-5.869536,-0.741688,-0.004958,0.026321,-0.511895,-0.071059,1.178774,0.195729,0.015744,0.008238
-3.075707,9.339122,21.123415,0.041197,0.122326,58.398841,58.407393,-5.900497,-0.610798,-0.00431,0.026412,-0.516634,-0.05721,1.185451,0.162115,0.015654,0.008847
-3.059207,8.965415,21.483951,0.022753,0.10668,58.400387,58.407783,-5.913376,-0.493118,-0.004821,0.026274,-0.518499,-0.044659,1.188562,0.131095,0.01576,0.009472
-3.042316,8.591561,21.844341,0.004133,0.090454,58.399784,58.408167,-5.909179,-0.389227,-0.005364,0.025921,-0.519895,-0.033507,1.190269,0.102988,0.015702,0.010086
-3.025162,8.224146,22.20478,-0.014226,0.073729,58.400053,58.40856,-5.88681,-0.299733,-0.004667,0.025376,-0.516999,-0.023859,1.185148,0.078102,0.015822,0.010666
-3.007873,7.860098,22.565317,-0.032329,0.056594,58.400319,58.408973,-5.84808,-0.225071,-0.004522,0.024672,-0.515971,-0.015808,1.179033,0.056677,0.015654,0.011188
-2.990569,7.493512,22.926098,-0.050385,0.039138,58.398998,58.409407,-5.792368,-0.165649,-0.005793,0.023845,-0.513527,-0.009434,1.168826,0.038915,0.015851,0.011634
-2.973367,7.138488,23.287268,-0.067609,0.021449,58.401134,58.409856,-5.722612,-0.121827,-0.002594,0.022937,-0.507956,-0.00479,1.158667,0.024971,0.015111,0.011993
-2.956373,6.779902,23.648878,-0.084579,0.003621,58.398516,58.410306,-5.636838,-0.093891,-0.002479,0.021992,-0.500401,-0.001897,1.139482,0.014942,0.014408,0.012262
-2.939687,6.425415,24.011073,-0.100785,-0.014255,58.400639,58.410744,-5.539224,-0.082057,-0.003241,0.021052,-0.491988,-0.000751,1.121754,0.008868,0.014386,0.012445
-2.923401,6.07,24.374,-0.116436,-0.032085,58.400584,58.411159,-5.427617,-0.086483,-0.002131,0.020157,-0.483846,-0.001324,1.099199,0.006738,0.014022,0.01255
-2.907599,5.715707,24.737707,-0.131415,-0.049775,58.400493,58.411536,-5.303452,-0.107263,-0.00161,0.01934,-0.472279,-0.003567,1.073107,0.008494,0.01387,0.012591
-2.892355,5.361659,25.10239,-0.145682,-0.067231,58.400368,58.411858,-5.167172,-0.144425,-4.1e-05,0.018629,-0.459813,-0.007417,1.045857,0.014034,0.013311,0.012585
-2.877739,5.006927,25.468195,-0.159201,-0.084359,58.400214,58.412104,-5.01912,-0.197939,0.000508,0.018045,-0.446334,-0.012798,1.012937,0.023229,0.013249,0.012548
-2.863813,4.650293,25.835366,-0.171929,-0.101067,58.400043,58.412251,-4.85953,-0.267712,0.001576,0.017594,-0.432891,-0.019629,0.979104,0.035931,0.013239,0.012498
-2.850637,4.290585,26.204049,-0.183821,-0.117265,58.399876,58.412285,-4.688539,-0.353596,0.002693,0.017275,-0.416816,-0.027826,0.942506,0.051996,0.01287,0.012448
-2.838263,3.926537,26.574683,-0.194822,-0.132863,58.399745,58.412193,-4.506187,-0.455398,0.004072,0.017076,-0.400177,-0.037312,0.901197,0.071291,0.012986,0.012411
-2.826743,3.55678,26.947805,-0.204864,-0.147782,58.39969,58.411968,-4.312464,-0.572928,0.005263,0.016971,-0.382074,-0.048029,0.857789,0.093718,0.013151,0.012395
-2.816129,3.179902,27.324244,-0.213867,-0.161945,58.399754,58.411607,-4.107344,-0.706078,0.006169,0.01693,-0.362453,-0.059948,0.812925,0.119226,0.01297,0.012408
-2.806429,2.792341,27.707317,-0.221772,-0.175357,58.399978,58.411111,-3.889611,-0.855772,0.007106,0.017294,-0.341902,-0.074047,0.764931,0.147073,0.01302,0.012395
-2.797754,2.394098,28.097415,-0.228423,-0.187893,58.400388,58.410485,-3.660153,-1.021885,0.008203,0.017121,-0.320689,-0.087962,0.715891,0.178254,0.012981,0.012546
-2.790062,1.97639,28.503805,-0.233761,-0.199669,58.401003,58.409724,-3.414887,-1.208358,0.009489,0.016007,-0.298217,-0.103341,0.663822,0.214702,0.013001,0.012714
-2.783569,1.542195,28.924976,-0.237524,-0.210428,58.4018,58.408841,-3.156748,-1.414573,0.010856,0.01652,-0.275161,-0.121577,0.609487,0.255649,0.012945,0.01275
-2.77822,1.07122,29.388,-0.239568,-0.220454,58.40279,58.407791,-2.87521,-1.654715,0.011975,0.016106,-0.250004,-0.142406,0.55063,0.30265,0.012982,0.0128
