pitch_angle,t*1,t*2,h*1,h*2,q01,q02,alpha1,alpha2,Cx1,Cx2,Cz1,Cz2,Cmx1,Cmx2,Cm1,Cm2
-4.938748,15.01361,15.206683,0.019477,0.029063,58.452469,58.45127,-7.803438,-7.790326,-0.005465,-0.005038,-0.648984,-0.626527,1.475633,1.446753,0.026581,0.027889
-4.937302,14.962634,15.417854,0.016924,0.039528,58.452111,58.45023,-7.80334,-7.772421,-0.0052,-0.005934,-0.649141,-0.637537,1.476291,1.456994,0.026546,0.027056
-4.925123,14.603317,15.768683,-0.001078,0.056781,58.450306,58.451939,-7.797809,-7.718585,-0.003605,-0.008278,-0.650949,-0.629115,1.481488,1.438319,0.026202,0.027033
-4.902276,14.247268,16.122195,-0.018908,0.073786,58.451019,58.447789,-7.765816,-7.638663,-0.002924,-0.008528,-0.650973,-0.619187,1.482377,1.416724,0.025768,0.027252
-4.86889,13.889951,16.479951,-0.036653,0.090463,58.4489,58.447649,-7.707103,-7.533159,-0.001719,-0.009604,-0.650085,-0.607523,1.477667,1.391185,0.025499,0.027101
-4.825153,13.533561,16.838146,-0.05419,0.106668,58.449501,58.447495,-7.622731,-7.402601,-0.000948,-0.01055,-0.646589,-0.594172,1.468993,1.361779,0.025021,0.026832
-4.771318,13.175902,17.196537,-0.071445,0.122301,58.448976,58.44732,-7.51264,-7.247717,0.000415,-0.011302,-0.639993,-0.579284,1.455684,1.328829,0.024245,0.026442
-4.707694,12.818341,17.555122,-0.088305,0.137273,58.448038,58.447113,-7.378093,-7.069367,0.000859,-0.011797,-0.632148,-0.56299,1.43504,1.292627,0.023775,0.025927
-4.635104,12.462439,17.911756,-0.104627,0.151423,58.449274,58.44687,-7.219898,-6.869783,0.00207,-0.012777,-0.621472,-0.545387,1.409335,1.252399,0.023171,0.025398
-4.553972,12.107512,18.267073,-0.120307,0.164707,58.447789,58.446595,-7.039487,-6.650055,0.002826,-0.012734,-0.608672,-0.526712,1.379974,1.211768,0.022565,0.024646
-4.464625,11.754049,18.621902,-0.135325,0.177089,58.449261,58.446298,-6.837449,-6.411014,0.003403,-0.011811,-0.594121,-0.507598,1.345426,1.167718,0.021881,0.023792
-4.367213,11.39878,18.977561,-0.149605,0.188548,58.447,58.445998,-6.614304,-6.153043,0.004748,-0.011771,-0.577746,-0.487001,1.307241,1.121322,0.021228,0.022985
-4.262788,11.044829,19.332293,-0.163087,0.198966,58.450024,58.445717,-6.372114,-5.8789,0.005325,-0.010305,-0.559508,-0.46536,1.262582,1.073871,0.020599,0.021731
-4.151219,10.689463,19.68839,-0.17569,0.208351,58.447281,58.445474,-6.111087,-5.588246,0.006308,-0.008211,-0.538849,-0.442768,1.2133,1.023194,0.02021,0.020567
-4.034022,10.33478,20.043024,-0.187313,0.216582,58.449372,58.445285,-5.833784,-5.285026,0.006889,-0.005688,-0.516972,-0.419905,1.163282,0.972434,0.019391,0.019127
-3.910867,9.979366,20.399073,-0.197936,0.223677,58.448408,58.445162,-5.540809,-4.968408,0.007642,-0.00333,-0.493155,-0.39663,1.107906,0.920706,0.018726,0.017794
-3.783171,9.625317,20.754341,-0.207472,0.229555,58.448461,58.445108,-5.23458,-4.642042,0.008666,-0.000354,-0.468732,-0.372685,1.050643,0.865789,0.018184,0.01655
-3.650973,9.27078,21.110537,-0.21588,0.234211,58.447762,58.445123,-4.915941,-4.306043,0.00906,0.002823,-0.442508,-0.348935,0.990914,0.812789,0.017409,0.015095
-3.515467,8.916098,21.46639,-0.223097,0.2376,58.447602,58.445207,-4.587282,-3.963446,0.009914,0.00533,-0.414985,-0.323813,0.926697,0.755548,0.016722,0.013896
-3.376906,8.561171,21.823073,-0.229124,0.239711,58.447945,58.445366,-4.249356,-3.614906,0.010467,0.009227,-0.387294,-0.298737,0.863674,0.698988,0.015944,0.012661
-3.236771,8.203902,22.178683,-0.233877,0.240521,58.447945,58.445608,-3.905997,-3.264158,0.011051,0.011934,-0.358819,-0.27423,0.798975,0.644302,0.015102,0.01141
-3.095086,7.846146,22.535171,-0.23737,0.240036,58.447996,58.445949,-3.557203,-2.911256,0.011576,0.014828,-0.32995,-0.24811,0.733652,0.585474,0.014184,0.010399
-2.952193,7.486878,22.893512,-0.239581,0.238246,58.448125,58.446405,-3.203802,-2.557064,0.012026,0.018012,-0.30084,-0.222173,0.667978,0.528628,0.013177,0.009446
-2.810102,7.129171,23.250683,-0.240484,0.235166,58.448354,58.446987,-2.850746,-2.20656,0.012396,0.020935,-0.271969,-0.196644,0.602974,0.473186,0.012078,0.008428
-2.669564,6.773024,23.606732,-0.240091,0.230826,58.448692,58.447693,-2.499881,-1.861574,0.012694,0.023307,-0.243539,-0.170479,0.539041,0.412354,0.010882,0.007621
-2.53034,6.415951,23.964098,-0.2384,0.225222,58.449137,58.448514,-2.150554,-1.521531,0.012933,0.025575,-0.215523,-0.144708,0.476098,0.355115,0.009581,0.007101
-2.394302,6.060878,24.319902,-0.235444,0.218427,58.449665,58.449416,-1.807434,-1.19106,0.013122,0.027588,-0.188287,-0.118463,0.414985,0.296508,0.008191,0.006591
-2.26092,5.70439,24.677415,-0.231206,0.21042,58.450247,58.450366,-1.469168,-0.868945,0.01327,0.029434,-0.161681,-0.092884,0.355416,0.23821,0.006714,0.006046
-2.131961,5.349415,25.033756,-0.225748,0.201301,58.450836,58.451319,-1.140268,-0.55954,0.01338,0.030598,-0.135989,-0.068105,0.298091,0.184279,0.00518,0.005545
-2.007218,4.993463,25.391366,-0.219059,0.191063,58.4514,58.452245,-0.82024,-0.262368,0.013459,0.031537,-0.111068,-0.042449,0.242778,0.125419,0.003602,0.005345
-1.888145,4.638829,25.748,-0.211224,0.179822,58.451905,58.453107,-0.512868,0.019103,0.013515,0.032566,-0.087095,-0.020371,0.18994,0.076229,0.002019,0.004727
