pitch_angle,t*1,t*2,h*1,h*2,q01,q02,alpha1,alpha2,Cx1,Cx2,Cz1,Cz2,Cmx1,Cmx2,Cm1,Cm2
-9.704284,15.048537,15.421902,0.000906,0.019518,58.451707,58.451783,-12.596515,-12.587598,0.008278,0.005871,-0.931345,-0.878566,2.080366,2.002849,0.046376,0.049415
-9.672618,14.725317,15.755463,-0.015212,0.036056,58.451762,58.452001,-12.558509,-12.533524,0.012408,0.002298,-0.91195,-0.864578,2.06579,1.970371,0.0472,0.049937
-9.607312,14.38478,16.107659,-0.032116,0.053333,58.451902,58.452396,-12.472701,-12.429647,0.015382,-0.001427,-0.918347,-0.845252,2.079278,1.927571,0.046244,0.050454
-9.509564,14.046976,16.462829,-0.048722,0.070471,58.452087,58.452958,-12.340673,-12.277734,0.01793,-0.005097,-0.922355,-0.823076,2.086137,1.878322,0.045132,0.05082
-9.375948,13.703024,16.830098,-0.065386,0.087794,58.452288,58.453685,-12.158029,-12.072228,0.020093,-0.006518,-0.922989,-0.791557,2.08502,1.815615,0.043888,0.052624
-9.223437,13.387024,17.17161,-0.08041,0.103452,58.452459,58.454464,-11.948344,-11.838905,0.021678,-0.011991,-0.920467,-0.772978,2.076693,1.7686,0.042634,0.050922
-9.035739,13.060634,17.528244,-0.09557,0.119251,58.452605,58.455349,-11.689453,-11.55271,0.022911,-0.014725,-0.914227,-0.74483,2.06001,1.705088,0.041249,0.050595
-8.819943,12.73678,17.886049,-0.110188,0.134419,58.452708,58.454879,-11.39125,-11.224536,0.023735,-0.01723,-0.904378,-0.71509,2.035302,1.637049,0.039771,0.050044
-8.576841,12.41478,18.245756,-0.124245,0.148845,58.452764,58.453509,-11.054945,-10.855834,0.024169,-0.019153,-0.890888,-0.684147,2.002556,1.565659,0.0382,0.049239
-8.307097,12.096537,18.606878,-0.137555,0.162452,58.452773,58.454509,-10.68151,-10.447822,0.024201,-0.019982,-0.873238,-0.651673,1.961005,1.49182,0.036551,0.047878
-8.011287,11.778537,18.96839,-0.150244,0.175204,58.452746,58.455975,-10.271783,-10.001836,0.023877,-0.020463,-0.851839,-0.617582,1.911254,1.414176,0.0348,0.04642
-7.689956,11.459122,19.329707,-0.16234,0.186988,58.452696,58.458272,-9.826504,-9.519427,0.023238,-0.020194,-0.827014,-0.581869,1.853732,1.333502,0.032927,0.044741
-7.343697,11.137854,19.691463,-0.1738,0.19776,58.452636,58.46177,-9.346439,-9.00238,0.022312,-0.019436,-0.79873,-0.545188,1.78841,1.249746,0.030917,0.042454
-6.973229,10.814146,20.053756,-0.184579,0.207474,58.45258,58.463921,-8.832499,-8.451855,0.021112,-0.018045,-0.76682,-0.508047,1.715107,1.164107,0.0288,0.040332
