pitch_angle,t*1,t*2,h*1,h*2,dtheta1,dtheta2,alpha1,alpha2,Cx1,Cx2,Cz1,Cz2,Cm1,Cm2
-170.09504407473028,15.707963267948966,15.707963267948966,-0.05,-0.05,-0.012482548225339125,-0.012482548225339125,-170.09504407473028,-170.09504407473028,0,0,0,0,0,0
-169.86961228433498,15.387392589011231,16.0285339468867,-0.04989726963751682,-0.04989726963751682,-0.012056059748334503,-0.012857743234187627,-169.83290275738435,-170.3645503144769,0,0,0,0,0,0
-169.65247176392202,15.066821910073498,16.349104625824435,-0.04958950069116231,-0.0495895006911623,-0.011580030335807267,-0.013180103018109578,-169.57920358725306,-170.64031398776424,0,0,0,0,0,0
-169.44451479046631,14.746251231135764,16.66967530476217,-0.04907795784955327,-0.049077957849553266,-0.01105641609472148,-0.013448302931606827,-169.33498909745342,-170.921201893699,0,0,0,0,0,0
-169.2465959037783,14.42568055219803,16.9902459836999,-0.048364743151951474,-0.048364743151951474,-0.010487368668308662,-0.013661240883706235,-169.10126284435032,-171.2060597769831,0,0,0,0,0,0
-169.05952839501708,14.105109873260295,17.310816662637635,-0.04745278735053343,-0.04745278735053343,-0.009875226394504241,-0.013818041866687511,-168.8789852827458,-171.4937170719782,0,0,0,0,0,0
-168.88408096470178,13.784539194322562,17.63138734157537,-0.04634583786730109,-0.04634583786730109,-0.00922250469721538,-0.013918061551677881,-168.66906981829743,-171.78299171367843,0,0,0,0,0,0
-168.72097456395707,13.463968515384828,17.951958020513104,-0.04504844339512096,-0.04504844339512096,-0.008531885749904761,-0.013960888936337562,-168.47237905342044,-172.07269499578678,0,0,0,0,0,0
-168.5708794319698,13.143397836447093,18.272528699450838,-0.04356593520616947,-0.04356593520616947,-0.007806207453963879,-0.013946348033756545,-168.289721242125,-172.36163645590858,0,0,0,0,0,0
-168.4344123418325,12.822827157509359,18.593099378388573,-0.04190440524459203,-0.041904405244592026,-0.007048451777168411,-0.013874498595622549,-168.1218469683787,-172.64862876776547,0,0,0,0,0,0
