pitch_angle,t*1,t*2,h*1,h*2,dtheta1,dtheta2,alpha1,alpha2,Cx1,Cx2,Cz1,Cz2,Cm1,Cm2
-170.54311769085948,15.707963267948966,15.707963267948966,-0.05,-0.05,-0.009361911169004344,-0.009361911169004344,-170.54311769085948,-170.54311769085948,0,0,0,0,0,0
-170.37404384806297,15.387392589011231,16.0285339468867,-0.04989726963751682,-0.04989726963751682,-0.009042044811250878,-0.00964330742564072,-170.33733432111237,-170.7544247524071,0,0,0,0,0,0
-170.21118845775325,15.066821910073498,16.349104625824435,-0.04958950069116231,-0.0495895006911623,-0.008685022751855452,-0.009885077263582185,-170.1379202810843,-170.97038716980217,0,0,0,0,0,0
-170.05522072766146,14.746251231135764,16.66967530476217,-0.04907795784955327,-0.049077957849553266,-0.00829231207104111,-0.010086227198705121,-169.94569503464857,-171.19011747833923,0,0,0,0,0,0
-169.9067815626455,14.42568055219803,16.9902459836999,-0.048364743151951474,-0.048364743151951474,-0.007865526501231497,-0.010245930662779677,-169.76144850321745,-171.41271273240605,0,0,0,0,0,0
-169.76648093107454,14.105109873260295,17.310816662637635,-0.04745278735053343,-0.04745278735053343,-0.007406419795878181,-0.010363531400015634,-169.58593781880325,-171.63725821686322,0,0,0,0,0,0
-169.6348953583381,13.784539194322562,17.63138734157537,-0.04634583786730109,-0.04634583786730109,-0.006916878522911535,-0.010438546163758411,-169.41988421193372,-171.86283120667164,0,0,0,0,0,0
-169.51256555777954,13.463968515384828,17.951958020513104,-0.04504844339512096,-0.04504844339512096,-0.00639891431242857,-0.010470666702253172,-169.2639700472429,-172.088504759286,0,0,0,0,0,0
-169.39999420878905,13.143397836447093,18.272528699450838,-0.04356593520616947,-0.04356593520616947,-0.0058546555904729096,-0.01045976102531741,-169.11883601894428,-172.31335152420436,0,0,0,0,0,0
-169.29764389118608,12.822827157509359,18.593099378388573,-0.04190440524459203,-0.041904405244592026,-0.0052863388328763085,-0.010405873946716911,-168.9850785177323,-172.5364475539993,0,0,0,0,0,0
-169.20593518437983,12.502256478571626,18.913670057326307,-0.04007068109339784,-0.04007068109339782,-0.004696299375099295,-0.010309226900016389,-168.86324717994293,-172.75687610115773,0,0,0,0,0,0
-169.12524493911786,12.181685799633891,19.23424073626404,-0.038072297918456725,-0.038072297918456705,-0.00408696181583694,-0.010170217028661464,-168.75384262905183,-172.9737313851217,0,0,0,0,0,0
-169.05590472892607,11.861115120696159,19.554811415201772,-0.03591746750488639,-0.035917467504886384,-0.0034608300538227495,-0.009989415554031099,-168.657314418786,-173.18612231405396,0,0,0,0,0,0
-168.9981994876015,11.540544441758424,19.875382094139507,-0.03361504451306584,-0.033615044513065837,-0.0028204769987716823,-0.009767565428166265,-168.57405918629243,-173.39317614604403,0,0,0,0,0,0
-168.9523663383586,11.21997376282069,20.19595277307724,-0.031174490092936675,-0.031174490092936685,-0.002168533998742243,-0.009505578280820881,-168.50441902293392,-173.594042074729,0,0,0,0,0,0
-168.91859361943864,10.899403083882955,20.516523452014976,-0.028605833006108472,-0.02860583300610846,-0.001507680027362887,-0.009204530673379457,-168.4486800693828,-173.78789472461906,0,0,0,0,0,0
-168.89702011018798,10.57883240494522,20.83709413095271,-0.025919628415526252,-0.025919628415526242,-0.0008406306753547452,-0.008865659675035475,-168.40707134075538,-173.97393754179421,0,0,0,0,0,0
-168.88773446078363,10.258261726007488,21.15766480989044,-0.023126914512041775,-0.02312691451204177,-0.00017012699158700504,-0.008490357779408736,-168.37976378657999,-174.15140606607545,0,0,0,0,0,0
-168.89077482795074,9.937691047069753,21.478235488828176,-0.020239167156119692,-0.020239167156119706,0.0005010757804814398,-0.008080167182490371,-168.36686958942218,-174.31957107126155,0,0,0,0,0,0
-168.90612871816847,9.61712036813202,21.79880616776591,-0.017268252721065396,-0.01726825272106541,0.0011702195246874685,-0.007636773445428726,-168.36844170501047,-174.47774156056823,0,0,0,0,0,0
-168.93373303900847,9.296549689194286,22.119376846703645,-0.014226379331551629,-0.014226379331551617,0.0018345545858552553,-0.007161998568197047,-168.38447364571007,-174.62526760500228,0,0,0,0,0,0
-168.9734743583954,8.975979010256552,22.43994752564138,-0.011126046697815717,-0.01112604669781573,0.0024913510687190376,-0.006657793502604885,-168.41489950819502,-174.7615430130454,0,0,0,0,0,0
-169.02518937072335,8.655408331318817,22.760518204579114,-0.007979994751668959,-0.007979994751668938,0.0031379100556483248,-0.00612623013541818,-168.45959424516795,-174.88600782071734,0,0,0,0,0,0
-169.08866556791384,8.334837652381083,23.08108888351685,-0.0048011512953840775,-0.004801151295384078,0.0037715746970793567,-0.0055694927745327995,-168.51837417997695,-174.9981505918163,0,0,0,0,0,0
-169.16364211265696,8.01426697344335,23.401659562454583,-0.0016025788785827605,-0.0016025788785827616,0.004389741129079853,-0.004989869173184408,-168.59099776198673,-175.09751051891615,0,0,0,0,0,0
-169.24981091024802,7.6936962945056155,23.722230241392317,0.0016025788785827555,0.0016025788785827876,0.00498986917318444,-0.00438974112907982,-168.67716655957778,-175.1836793165072,0,0,0,0,0,0
-169.34681787461452,7.373125615567881,24.042800920330052,0.004801151295384095,0.004801151295384104,0.005569492774532704,-0.003771574697079323,-168.77652648667762,-175.256302898517,0,0,0,0,0,0
-169.45426438333197,7.052554936630148,24.363371599267783,0.007979994751668955,0.007979994751668966,0.00612623013541809,-0.0031379100556482905,-168.88866925777657,-175.315082833326,0,0,0,0,0,0
-169.57170891564886,6.731984257692414,24.683942278205517,0.011126046697815722,0.011126046697815712,0.006657793502604798,-0.002491351068719003,-169.0131340654485,-175.35977757029892,0,0,0,0,0,0
-169.69866886679011,6.411413578754679,25.004512957143252,0.014226379331551624,0.014226379331551643,0.007161998568197074,-0.00183455458585522,-169.14940947349172,-175.39020343278386,0,0,0,0,0,0
-169.83462253108368,6.090842899816945,25.325083636080986,0.017268252721065393,0.017268252721065393,0.0076367734454287515,-0.0011702195246874327,-169.2969355179257,-175.40623537348347,0,0,0,0,0,0
-169.97901124576097,5.770272220879212,25.645654315018717,0.02023916715611969,0.02023916715611969,0.008080167182490394,-0.0005010757804815526,-169.4551060072324,-175.40780748907176,0,0,0,0,0,0
-170.13124168662213,5.449701541941478,25.966224993956452,0.023126914512041772,0.02312691451204175,0.008490357779408757,0.00017012699158689215,-169.62327101241848,-175.39491329191395,0,0,0,0,0,0
-170.2906883061323,5.129130863003743,26.286795672894186,0.02591962841552626,0.025919628415526266,0.008865659675035496,0.0008406306753547811,-169.80073953669972,-175.36760573773856,0,0,0,0,0,0
-170.45669590393075,4.80856018406601,26.60736635183192,0.02860583300610848,0.028605833006108486,0.009204530673379474,0.0015076800273629226,-169.98678235387487,-175.32599700911118,0,0,0,0,0,0
-170.6285823191896,4.487989505128276,26.927937030769655,0.031174490092936682,0.03117449009293667,0.009505578280820897,0.002168533998742278,-170.18063500376496,-175.27025805556005,0,0,0,0,0,0
-170.805641233759,4.167418826190541,27.24850770970739,0.03361504451306584,0.03361504451306586,0.009767565428166225,0.002820476998771717,-170.3815009324499,-175.2006178922015,0,0,0,0,0,0
-170.98714507458004,3.846848147252807,27.569078388645124,0.035917467504886384,0.035917467504886384,0.009989415554031066,0.003460830053822783,-170.58855476443998,-175.11736265970794,0,0,0,0,0,0
-171.17234800343826,3.526277468315074,27.88964906758286,0.038072297918456725,0.03807229791845675,0.010170217028661473,0.004086961815836973,-170.80094569337223,-175.0208344494421,0,0,0,0,0,0
-171.3604889817731,3.2057067893773397,28.210219746520593,0.040070681093397835,0.04007068109339785,0.010309226900016396,0.004696299375099328,-171.0178009773362,-174.911429898551,0,0,0,0,0,0
-171.5507948979485,2.885136110439605,28.530790425458328,0.04190440524459204,0.04190440524459205,0.010405873946716914,0.005286338832876212,-171.23822952449467,-174.78959856076165,0,0,0,0,0,0
-171.74248374413435,2.5645654315018724,28.85136110439606,0.04356593520616947,0.04356593520616947,0.010459761025317411,0.005854655590472817,-171.46132555428957,-174.6558410595497,0,0,0,0,0,0
-171.9347678297446,2.243994752564138,29.171931783333793,0.04504844339512096,0.04504844339512096,0.010470666702253172,0.006398914312428483,-171.68617231920797,-174.51070703125103,0,0,0,0,0,0
-172.12685701822667,1.9234240736264034,29.492502462271528,0.04634583786730109,0.0463458378673011,0.010438546163758408,0.006916878522911562,-171.91184587182232,-174.35479286656022,0,0,0,0,0,0
-172.317961973902,1.602853394688669,29.813073141209262,0.04745278735053344,0.04745278735053344,0.010363531400015629,0.007406419795878205,-172.13741886163072,-174.1887392596907,0,0,0,0,0,0
-172.50729740551589,1.2822827157509362,30.133643820146993,0.048364743151951474,0.04836474315195147,0.0102459306627797,0.007865526501231521,-172.36196434608786,-174.0132285752765,0,0,0,0,0,0
-172.69408529316757,0.9617120368132017,30.454214499084728,0.049077957849553266,0.049077957849553266,0.010086227198705151,0.008292312071041131,-172.58455960015468,-173.82898204384537,0,0,0,0,0,0
-172.87755808536073,0.6411413578754672,30.774785178022462,0.04958950069116231,0.04958950069116231,0.009885077263582173,0.00868502275185547,-172.8042899086918,-173.63675679740965,0,0,0,0,0,0
-173.05696185303748,0.3205706789377345,31.095355856960197,0.04989726963751682,0.04989726963751682,0.009643307425640707,0.009042044811250897,-173.02025232608688,-173.43734275738157,0,0,0,0,0,0
-173.23155938763446,0.0,31.41592653589793,0.05,0.05,0.009361911169004328,0.009361911169004361,-173.23155938763446,-173.23155938763446,0,0,0,0,0,0
